symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00033000,-0.534,0.06151706,0.06175000,0.06142000,0.01330000,0.06142000,29.59590000,0.06143000,35.01610000,0.06175000,0.06180000,0.06127000,6604.05700000,406.26216345,1694848569395,1694934969395,423057715,423073721,16007
LTCBTC,-0.00006900,-2.786,0.00243034,0.00247600,0.00240800,14.52400000,0.00240700,35.32800000,0.00240800,284.83700000,0.00247700,0.00248200,0.00239500,52807.49900000,128.34023213,1694848557542,1694934957542,93495875,93509209,13335
BNBBTC,-0.00001900,-0.234,0.00807807,0.00810800,0.00808900,7.18900000,0.00808800,25.17800000,0.00808900,2.89200000,0.00810800,0.00811200,0.00804800,22302.94700000,180.16485696,1694848571914,1694934971914,227105403,227129326,23924
NEOBTC,-0.00000540,-1.949,0.00027181,0.00027670,0.00027170,27.40000000,0.00027150,7.19000000,0.00027180,35.51000000,0.00027710,0.00027720,0.00026700,13011.21000000,3.53657659,1694848528159,1694934928159,45510025,45512564,2540
QTUMETH,-0.00001800,-1.332,0.00134595,0.00134600,0.00133300,5.00000000,0.00132500,46.20000000,0.00133200,200.00000000,0.00135100,0.00137500,0.00132600,3017.40000000,4.06126690,1694848559665,1694934959665,5401937,5402019,83
EOSETH,-0.00000600,-1.701,0.00035063,0.00035270,0.00034680,16.10000000,0.00034690,541.00000000,0.00034780,354.30000000,0.00035280,0.00035400,0.00034680,9054.20000000,3.17471872,1694848569133,1694934969133,23497634,23497758,125
SNTETH,-0.00000018,-1.309,0.00001362,0.00001371,0.00001357,33032.00000000,0.00001345,829.00000000,0.00001352,494.00000000,0.00001375,0.00001375,0.00001357,56768.00000000,0.77290220,1694848524893,1694934924893,3906840,3906859,20
BNTETH,-0.00000910,-3.412,0.00026021,0.00026590,0.00025760,29.00000000,0.00025850,593.10000000,0.00025960,739.30000000,0.00026670,0.00026670,0.00025420,32357.60000000,8.41980896,1694848566405,1694934966405,2234738,2235061,324
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573266320,1689659666320,-1,-1,0
GASBTC,-0.00000060,-0.667,0.00008955,0.00009000,0.00008940,35.20000000,0.00008930,55.40000000,0.00008950,737.40000000,0.00009000,0.00009020,0.00008810,10241.60000000,0.91717390,1694848555561,1694934955561,20797053,20799800,2748
BNBETH,0.00050000,0.381,0.13119591,0.13140000,0.13180000,0.02600000,0.13170000,7.53800000,0.13180000,23.60100000,0.13130000,0.13210000,0.13060000,3377.87100000,443.16285200,1694848559170,1694934959170,56284438,56288478,4041
BTCUSDT,44.23000000,0.167,26524.25475682,26498.91000000,26543.13000000,0.00166000,26543.12000000,1.21618000,26543.13000000,9.81909000,26498.90000000,26622.22000000,26416.16000000,11963.14165000,317313416.81648460,1694848572741,1694934972741,3213401428,3213882408,480981
